name,country_country_code,port_code,shipment_type_name
YANGSHAN,CN,SHY,Ocean
YANGTAI,CN,YAI,Ocean
YANTAICHINA,CN,YNT,Ocean
YANTIAN CHINA,CN,YTN,Ocean
YINGKOU,CN,YIK,Ocean
ZHANG ZHOU,CN,ZZU,Ocean
ZHANG-JIA-GANG,CN,CZG,Ocean
ZJANGJAGANG,CN,ZJG,Ocean
BARRANQUILLA,CO,BAQ,Ocean
BUENAVENTURA,CO,BUN,Ocean
CARTAGENA,CO,CTG,Ocean
SANTA MARTA,CO,SMR,Ocean
PORT CALDERA,CR,PCD,Ocean
PUERPO CALDERA,CR,CAL,Ocean
PUERTO CALDERA,CR,PLD,Ocean
PUNTARENAS,CR,PAS,Ocean
HABANA,CU,HAV,Ocean
FAMAGUSTA,CY,FMG,Ocean
LARNACA,CY,LCA,Ocean
LIMASSOL,CY,LMS,Ocean
WILLEMSTAD,CZ,WIL,Ocean
ROSTOCK,DE,RSK,Ocean
BREMERHAVEN,DE,BRV,Ocean
HAMBURG,DE,HAM,Ocean
HARBURG,DE,HBU,Ocean
HUSUM,DE,HUS,Ocean
DJIBOUTI,DJ,JIB,Ocean
AALBORG,DK,AAL,Ocean
AARHUS,DK,AAR,Ocean
ESBJERG,DK,EBJ,Ocean
KOBENHAVN,DK,CPH,Ocean
SANTO DOMINGO,DO,DOM,Ocean
SANTO DOMINGO,DO,SDQ,Ocean
ANNABA,DZ,AAE,Ocean
BEJAIA,DZ,BJA,Ocean
ORAN,DZ,ORN,Ocean
ESMERALDAS,EC,ESM,Ocean
GUAYAQUIL,EC,GYE,Ocean
ADABIYA,EG,ADA,Ocean
ALEXANDRIA,EG,ALY,Ocean
DAMIETTA,EG,DAM,Ocean
ELDEKHEILA,EG,EDK,Ocean
MANTA,EG,MEC,Ocean
PORT SAID,EG,PSD,Ocean
SOKHNA,EG,SOK,Ocean
SOKHNA,EG,AIS,Ocean
SUEZ,EG,SUZ,Ocean
UCSAM,EG,UCS,Ocean
ALGECIRAS,ES,ALG,Ocean
ALGMED,ES,AMD,Ocean
BARCELONA,ES,BCN,Ocean
BILBAO,ES,BIO,Ocean
CEUTA,ES,CEU,Ocean
LAS PALMAS,ES,LPA,Ocean
MALAGA,ES,AGP,Ocean
MELILLA,ES,MLN,Ocean
PALMA DE MALLORCA,ES,PMI,Ocean
VALENCIA,ES,VLC,Ocean
ASSAB,ET,ASA,Ocean
HELSINKI,FI,HEL,Ocean
RAUMA,FI,RAU,Ocean
TURKU,FI,TKU,Ocean
LAUTOKA,FJ,LTK,Ocean
SU5,FJ,SU5,Ocean
SUVA,FJ,SUV,Ocean
BORDEAUX,FR,BOD,Ocean
CHERBOURG,FR,CER,Ocean
FOS,FR,FOS,Ocean
LAVERA,FR,LAV,Ocean
LE HAVRE,FR,LEH,Ocean
MARSEILLE,FR,MRS,Ocean
LIBREVILLE,GA,LBV,Ocean
ABERDEEN,GB,ABD,Ocean
AVONMOUTH,GB,AVO,Ocean
EDINBURGH,GB,EDI,Ocean
FELIXSTOWE,GB,FXT,Ocean
GARSTON,GB,GTN,Ocean
GLASGOW,GB,GLW,Ocean
GRANGEMOUTH,GB,GRG,Ocean
HARTLEPOOL,GB,HTP,Ocean
HARWICH,GB,HRW,Ocean
HOLYHEAD,GB,HHD,Ocean
HULL,GB,HUL,Ocean
IPSWICH,GB,IPS,Ocean
LEITH,GB,LEI,Ocean
LIVERPOOL,GB,LIV,Ocean
LONDON,GB,LON,Ocean
MANCHESTER,GB,MNC,Ocean
NEWCASTLE UPON TYNE,GB,NCL,Ocean
PORTSMOUTH,GB,PME,Ocean
SOUTHAMPTON,GB,SOU,Ocean
TEMS PORT,GB,THP,Ocean
TILBURY,GB,TIL,Ocean
TYNE,GB,TYN,Ocean
TAKORADI,GH,TKD,Ocean
TEMA,GH,TEM,Ocean
GIBRALTAR,GI,GIB,Ocean
BANJUL,GM,BJL,Ocean
CONAKRY,GN,CKY,Ocean
POINTE A PITRE,GP,PTP,Ocean
AST,GR,AST,Ocean
ATHENS,GR,ATH,Ocean
HER,GR,HER,Ocean
PIRAEUS,GR,PIR,Ocean
THESSALONIKI,GR,SKG,Ocean
PUEROTO-QUETZAL,GT,PTQ,Ocean
PUERTO QUETZAL,GT,PRQ,Ocean
SAN JOSE,GT,SNJ,Ocean
GUAM,GU,GUM,Ocean
GEORGETOWN,GY,GEO,Ocean
HONGKONG,HK,HKM,Ocean
HONGKONG,HK,HIT,Ocean
HONGKONG,HK,HKG,Ocean
HONGKONG,HK,KWN,Ocean
AMAPALA,HN,AMP,Ocean
PUERTO CORTES,HN,PCR,Ocean
SAN LORENZO,HN,SLO,Ocean
RIJEKA,HR,RJK,Ocean
PORT AU PRINCE,HT,PAP,Ocean
BALIKPAPAN,ID,BPN,Ocean
BELAWAN,ID,BLW,Ocean
DUMAI,ID,DUM,Ocean
JAKARTTA,ID,JKT,Ocean
MEDAN,ID,MES,Ocean
PADANG,ID,PDG,Ocean
PALEMBANG,ID,PLM,Ocean
PONTIANAK,ID,PNK,Ocean
SEMARANG,ID,SRG,Ocean
SURABAYA,ID,SUB,Ocean
UJUNG PANDANG,ID,UPG,Ocean
CORK,IE,ORK,Ocean
DUBLIN,IE,DUB,Ocean
ASHDOD,IL,ASH,Ocean
ELAT,IL,ETH,Ocean
HAIFA,IL,HFA,Ocean
BOMBAY,IN,BOM,Ocean
CALCUTTA,IN,CCU,Ocean
COCHIN,IN,COK,Ocean
JAWAHARLAL NEHRU,IN,JHT,Ocean
KANDLA,IN,IXY,Ocean
MADRAS,IN,MAA,Ocean
MAHE,IN,MAH,Ocean
MANGALORE,IN,IXE,Ocean
MUN,IN,MUN,Ocean
MUNDRA,IN,MDA,Ocean
NANSHA,IN,NSH,Ocean
NHAVASHEVA,IN,NSA,Ocean
VISAKHAPATNAM,IN,VTZ,Ocean
BAGHDAD,IQ,BGW,Ocean
BANDAR KHOMEINI,IR,BKM,Ocean
BANDARABBAS,IR,BSR,Ocean
BANDARABBAS,IR,BND,Ocean
BANDARABBAS,IR,SRP,Ocean
KHORRAMSHAHR,IR,KHO,Ocean
REYKJAVIK,IS,REK,Ocean
CAGLIARI,IT,CAG,Ocean
CATANIA,IT,CTA,Ocean
GENOA,IT,GOA,Ocean
GIOIA TAURO,IT,GIT,Ocean
GIOIATARO,IT,GTO,Ocean
LA SPEZIA,IT,SPE,Ocean
NAPOLI,IT,NPO,Ocean
NAPOLI,IT,NAP,Ocean
OTHER-PORT,IT,ZZZ,Ocean
PALERMO,IT,PMO,Ocean
RAVENNA,IT,RAN,Ocean
SALERNO,IT,SAL,Ocean
SAVONA,IT,SVN,Ocean
TARANTO,IT,TAR,Ocean
TERMINIIMERESS,IT,TRI,Ocean
TRIESTE,IT,TRS,Ocean
VENEZIA,IT,VCE,Ocean
VPI,IT,VPI,Ocean
KINGSTON,JM,KIN,Ocean
AQABA,JO,AQJ,Ocean
ABURACHU,JP,ABR,Ocean
ABURATSU,JP,ABU,Ocean
AKITA,JP,AXT,Ocean
AOI,JP,AIO,Ocean
CHIBA,JP,CHB,Ocean
DEJIMA,JP,DEJ,Ocean
FUKUYAMA,JP,FKY,Ocean
FUNABASHI,JP,FNB,Ocean
FUSHIKI,JP,FSK,Ocean
HACHINOHE,JP,HHE,Ocean
HAKATA,JP,HKT,Ocean
HAKODATE,JP,HKP,Ocean
HAKODATE,JP,HKD,Ocean
HAMADA,JP,HMD,Ocean
HIBIKI,JP,TBT,Ocean
HIBIKI,JP,HBK,Ocean
HIROHATA,JP,HRH,Ocean
HIROSHIMA,JP,HIR,Ocean
HIROSHIMA,JP,HIJ,Ocean
HITACHINAKA,JP,HIC,Ocean
HOSOSHIMA,JP,HSM,Ocean
IMABARI,JP,IMB,Ocean
IMARI,JP,IMI,Ocean
ISHIKARI,JP,ISI,Ocean
ISHIKARIWAN-SHINKO,JP,ISS,Ocean
IWAKUNI,JP,IWK,Ocean
IYOMISHIMA,JP,IYM,Ocean
IYOMISHIMA,JP,MKX,Ocean
KAGOSHIMA,JP,KOJ,Ocean
KAGOSHIMA SENDAI,JP,SEN,Ocean
KANAZAWA,JP,KNZ,Ocean
KASHIMA,JP,KSM,Ocean
KAWASAKI,JP,KWS,Ocean
KINUURA,JP,KNU,Ocean
KOBE,JP,UBK,Ocean
KOBE,JP,UKB,Ocean
KOBE,JP,KOB,Ocean
KOKURA,JP,KOK,Ocean
KOTI,JP,KCZ,Ocean
KURE,JP,KRE,Ocean
KUSHIRO,JP,KUH,Ocean
MAIZURU,JP,MAI,Ocean
MATSUYAMA,JP,MYJ,Ocean
MIIKE,JP,MII,Ocean
MISHIMA-KAWANOE,JP,MKK,Ocean
MISUMI,JP,MIS,Ocean
MIYAGI SENDAI,JP,SDJ,Ocean
MIZUSHIMA,JP,MIJ,Ocean
MIZUSHIMA,JP,MIZ,Ocean
MOJI,JP,MOJ,Ocean
MURORAN,JP,MUR,Ocean
NAGASAKI,JP,NGS,Ocean
NAGOYA,JP,NGO,Ocean
NAKANOSEKI,JP,NKN,Ocean
NAKANOSEKI,JP,NAN,Ocean
NAOETSU,JP,NAO,Ocean
NIGATA,JP,NIH,Ocean
NIGATA,JP,KIJ,Ocean
OITA,JP,OIP,Ocean
OITA,JP,OIT,Ocean
OKINAWA,JP,NAH,Ocean
ONAHAMA,JP,ONA,Ocean
OSAKA,JP,OSA,Ocean
OTAKE,JP,OTK,Ocean
SAEKI,JP,SAE,Ocean
SAKA,JP,SMN,Ocean
SAKAIDE,JP,SKD,Ocean
SAKATA,JP,SKT,Ocean
SASEBO,JP,SSB,Ocean
SENDAISHINKO,JP,SDS,Ocean
SENDAISHIOGAMAKO,JP,SGM,Ocean
SHIBUSHI,JP,SBS,Ocean
SHIMIZU,JP,SMZ,Ocean
SHIMONOSEKI,JP,SHS,Ocean
TAKAMATSU,JP,TAK,Ocean
TAKUMA,JP,TKM,Ocean
TOKUSHIMA,JP,TKS,Ocean
TOKUYAMA,JP,TKY,Ocean
TOKYO,JP,TYO,Ocean
TOKYO,JP,TOK,Ocean
TOMAKOMAI,JP,TMK,Ocean
TOYAMASHINKO,JP,TOS,Ocean
TOYAMASHINKO,JP,TOY,Ocean
TOYAMASHINKO,JP,TSH,Ocean
TOYOHASHI,JP,THS,Ocean
TSURUGA,JP,TRG,Ocean
UBE,JP,UBJ,Ocean
UNO,JP,UNO,Ocean
WAKAYAMA,JP,WAK,Ocean
YATSUSHIRO,JP,YAT,Ocean
YAWATAHAMA,JP,YWH,Ocean
YOKKAICHI,JP,YKK,Ocean
YOKOHAMA,JP,YOK,Ocean
MOMBASA,KE,MBA,Ocean
KOSTM,KH,KOS,Ocean
SIHANOUKVILLE,KH,SHV,Ocean
SIHANOUKVILLE,KH,SIH,Ocean
TARAWA,KI,TRW,Ocean
MORONI,KM,YVA,Ocean
CHEONGIN,KP,JC*,Ocean
CHINNAMPO,KP,HC*,Ocean
CHONG JIN,KP,CHO,Ocean
HAEJU,KP,JH*,Ocean
HUNGNAM,KP,HGM,Ocean
NAJIN,KP,JN*,Ocean
NAMPO,KP,NAM,Ocean
SINPO,KP,NS*,Ocean
SINUIJU,KP,JS*,Ocean
WEONSAN,KP,SW*,Ocean
ALL PORTS,KR,ALL,Ocean
CHEJU,KR,CHA,Ocean
CHUNGMU,KR,CM*,Ocean
DAESAN,KR,DAS,Ocean
DONGHAE,KR,DH*,Ocean
GAMMAN PORT,KR,GAM,Ocean
INCHEUN,KR,INC,Ocean
JANGSEUNGPO,KR,JP*,Ocean
JINHAE,KR,CHF,Ocean
KOHYUN,KR,KH*,Ocean
KOJUNG,KR,KJ*,Ocean
KUNSAN,KR,KUV,Ocean
KWANG YANG,KR,KAN,Ocean
KWANG YANG,KR,KWY,Ocean
MASAN,KR,MAS,Ocean
MIPO,KR,MI*,Ocean
MOKPO,KR,MOK,Ocean
MUKHO,KR,MUK,Ocean
OKPO,KR,OP*,Ocean
ONSAN,KR,OS*,Ocean
PECT PORT,KR,PET,Ocean
POHANG,KR,KPO,Ocean
PUNSANNEWPORT,KR,PNC,Ocean
PUSAN,KR,KJC,Ocean
PUSAN,KR,PUS,Ocean
PUSANNEWPORT,KR,PU1,Ocean
PUSANNEWPORT,KR,PUN,Ocean
PYEONGTAEK,KR,PYT,Ocean
PYONGTACK,KR,PTK,Ocean
SAMCHEONPO,KR,SP*,Ocean
SAMCHOK,KR,SUK,Ocean
SEOGWIPO,KR,SG*,Ocean
SINHANG,KR,SH*,Ocean
SOCKCHO,KR,SHO,Ocean
ULSAN,KR,USN,Ocean
WANDO,KR,WD*,Ocean
YEOCHEON,KR,YC*,Ocean
YOSU,KR,YOS,Ocean
KUWAIT,KW,KWI,Ocean
BEIRUT,LB,BEY,Ocean
COLOMBO,LK,CMB,Ocean
TRINCOMALEE,LK,TRR,Ocean
MONROVIA,LR,MLW,Ocean
MISRATAH,LY,MRA,Ocean
TRIPOLI,LY,TIP,Ocean
CASABLANCA,MA,CAS,Ocean
MAJUNGA,MG,MJN,Ocean
TAMATAVE,MG,TMM,Ocean
MAJURO,MH,MAJ,Ocean
RANGOON,MM,RGN,Ocean
MACAU,MO,MAC,Ocean
NOUAKCHOTT,MR,NKC,Ocean
MALTA,MT,MLA,Ocean
MALTA,MT,MAR,Ocean
PORT LOUIS,MU,PLU,Ocean
ACAPULCO,MX,ACA,Ocean
ENSENADA,MX,ESE,Ocean
GUAYMAS,MX,GYM,Ocean
LAZALLINO,MX,ZL2,Ocean
LAZARO,MX,LCS,Ocean
LAZARO CARDENAS,MX,LZC,Ocean
LAZAROCAROENAS,MX,LZ2,Ocean
LAZAROCAROENAS,MX,LZ1,Ocean
LAZAROCAROENAS,MX,ZLC,Ocean
MANZANILLO,MX,ZLO,Ocean
MAZATLAN,MX,MZT,Ocean
PANTACO,MX,PAN,Ocean
SALINA CRUZ,MX,SAC,Ocean
TAMPICO,MX,TAM,Ocean
VERACRUZ,MX,VER,Ocean
BINTULU,MY,BTU,Ocean
JAMBONGAN,MY,JAM,Ocean
JOHOR,MY,JOH,Ocean
KOTA KINABALU,MY,BKI,Ocean
KUCHING,MY,KCH,Ocean
KUDAT,MY,KUD,Ocean
LABUAN,MY,LBU,Ocean
LAHAD DATU,MY,LDU,Ocean
LAWAS,MY,LWY,Ocean
LIMBANG,MY,LMN,Ocean
MIRI,MY,MYY,Ocean
PASIR GUDANG,MY,PGU,Ocean
PENANG,MY,PEN,Ocean
PORTKELANG,MY,PKG,Ocean
PORTKELANG,MY,PKL,Ocean
SANDAKAN,MY,SDK,Ocean
SIBU,MY,SBW,Ocean
TANJUNG PELEPAS,MY,TPP,Ocean
TAWAU,MY,TWU,Ocean
WESTON,MY,WES,Ocean
BEIRA,MZ,BEW,Ocean
MAPUTO,MZ,MPM,Ocean
WALVIS BAY,NA,WVB,Ocean
NOUMEA,NC,NOU,Ocean
APAPA,NG,APP,Ocean
CALABAR,NG,CBG,Ocean
LAGOS,NG,LOS,Ocean
PORT HARCOURT,NG,PHC,Ocean
TINCANISLAND,NG,TIN,Ocean
WARRI,NG,WAR,Ocean
CORINTO,NI,CIO,Ocean
AMSTERDAM,NL,AMS,Ocean
ROTTERDAM,NL,RTM,Ocean
ALESUND,NO,AES,Ocean
DRAMMEN,NO,DRM,Ocean
OSLO,NO,OSL,Ocean
NAURU ISLAND,NR,INU,Ocean
AUCKLAND,NZ,AKL,Ocean
BLUFF HARBOUR,NZ,BLU,Ocean
CHRISTCHURCH,NZ,CHC,Ocean
DUNEDIN,NZ,DUD,Ocean
LYTTELTON,NZ,LYT,Ocean
NAPIER,NZ,NPE,Ocean
NELSON,NZ,NSN,Ocean
NEW PLYMOUTH,NZ,NPL,Ocean
OTAGO HARBOUR,NZ,ORR,Ocean
PORT CHALMERS,NZ,POE,Ocean
TAURANGA,NZ,TRG,Ocean
TIMARU,NZ,TIU,Ocean
WELLINGTON,NZ,WLG,Ocean
MUSCAT,OM,MCT,Ocean
SALALAH,OM,SLL,Ocean
SALALAH,OM,SLV,Ocean
SOHAR,OM,SOH,Ocean
null,OM,SHQ,Ocean
BALBOA,PA,BLB,Ocean
COLON,PA,ONX,Ocean
CRISTOBAL,PA,CTB,Ocean
MANZANILLO,PA,MIT,Ocean
MANZANILLO,PA,MAN,Ocean
PAMZX,PA,MZX,Ocean
PANAMA CITY,PA,PTY,Ocean
PONAPE,PC,PNI,Ocean
SAIPAN,PC,SPN,Ocean
TRUK,PC,TKK,Ocean
YAP,PC,YAP,Ocean
CALLAO,PE,CLF,Ocean
CALLAO,PE,CLL,Ocean
CHIMBOTE,PE,CHM,Ocean
ILLO,PE,PIL,Ocean
ILO,PE,ILO,Ocean
MATARANI,PE,MRI,Ocean
PAITA,PE,PAI,Ocean
SANJUAN,PE,SJA,Ocean
null,PE,NOR,Ocean
PAPEETE,PF,PPT,Ocean
PP5,PF,PP5,Ocean
ALOTAU,PG,GUR,Ocean
KAVIENG,PG,KVG,Ocean
KIMBE,PG,KIM,Ocean
LAE,PG,LAE,Ocean
MADANG,PG,MAG,Ocean
OROBAY,PG,ROR,Ocean
PORT MORESBY,PG,POM,Ocean
RABAUL,PG,RAB,Ocean
WEWAK,PG,WWK,Ocean
BATANGAS,PH,BTG,Ocean
BUGO,PH,BUG,Ocean
CAGAYAN DE ORO,PH,CGY,Ocean
CEBU,PH,CEB,Ocean
DAVAO,PH,DVO,Ocean
GENERAL SANTOS,PH,GES,Ocean
LUGAIT,PH,LUG,Ocean
MANILA,PH,MNN,Ocean
MANILA,PH,MNL,Ocean
MANILA,PH,MLL,Ocean
MANILA SOUTH PORT,PH,MJJ,Ocean
PORO,PH,PRO,Ocean
PUERTO PRINCESA,PH,PPS,Ocean
SAN FERNANDO,PH,SFE,Ocean
SANGI,PH,SNG,Ocean
SOUTH MANILA,PH,MIP,Ocean
SOUTH MANILA,PH,MNS,Ocean
SUBIC,PH,SBC,Ocean
TIGARD,PH,TGO,Ocean
null,PH,SFS,Ocean
KARACHI,PK,KHI,Ocean
PORTQASIM,PK,BQM,Ocean
PORTQASIM,PK,PQ1,Ocean
GDANSK,PL,GDN,Ocean
GDYNIA,PL,GDY,Ocean
SANJUAN,PR,SJU,Ocean
LISBON,PT,LIS,Ocean
SINES,PT,SIE,Ocean
ASUNCION,PY,ASU,Ocean
DOHA,QA,DOH,Ocean
CONSTANTA,RO,CND,Ocean
VICSANI,RO,VIS,Ocean
FISHERYPORT,RU,VFP,Ocean
KORSAKOV,RU,KOR,Ocean
NAKHODKA,RU,NJK,Ocean
NOVOROSSIYSK,RU,NVS,Ocean
PEVEK,RU,PWE,Ocean
ST. PETERSBURG,RU,LED,Ocean
VLIDIVOSTOK,RU,VVO,Ocean
VOSTOCHNY,RU,VYP,Ocean
DAMMAN,SA,DMN,Ocean
DAMMAN,SA,DMM,Ocean
FUJAIRAH,SA,FUJ,Ocean
GIZAN,SA,GIZ,Ocean
JEDDAH,SA,JED,Ocean
JUBAIL,SA,JUB,Ocean
RIYADH,SA,RIY,Ocean
YANBU,SA,YNB,Ocean
HONIARA,SB,HIR,Ocean
MAHE,SC,HAW,Ocean
PORT SUDAN,SD,PZU,Ocean
GOTHERBURG,SE,GOT,Ocean
MALMO,SE,MMA,Ocean
SEOOL,SE,null,Ocean
STOCKHOLM,SE,STO,Ocean
JURONG,SG,JUR,Ocean
SINGAPORE,SG,SI3,Ocean
SINGAPORE,SG,SG3,Ocean
SINGAPORE,SG,SI1,Ocean
SINGAPORE,SG,SIN,Ocean
SINGAPORE,SG,SI4,Ocean
SINGAPORE,SG,SI2,Ocean
KOPER,SI,KOP,Ocean
FREETOWN,SL,FNA,Ocean
DAKAR,SN,DKR,Ocean
KISMAYU,SO,KMU,Ocean
MOGADISHU,SO,MGQ,Ocean
PARAMARIBO,SR,PBM,Ocean
SAO TOME ISLAND,ST,TMS,Ocean
ACAJUTLA,SV,AQJ,Ocean
LOME,TG,LFW,Ocean
BANGKOK,TH,BKK,Ocean
LEAMCHARBANG,TH,LEM,Ocean
Leam Char Bang,TH,LCH,Ocean
SATTAHIP,TH,SAT,Ocean
TUNIS,TN,TUN,Ocean
NUKUALOFA,TO,TBU,Ocean
AYT,TR,AYT,Ocean
DERINCE,TR,DRC,Ocean
GEMLIK,TR,GEM,Ocean
ISKENDERUN,TR,ISK,Ocean
ISTANBUL,TR,IST,Ocean
IZMIR,TR,IZM,Ocean
KUMPORT,TR,KPX,Ocean
MERSIN,TR,MER,Ocean
PORT OF SPAIN,TT,POS,Ocean
HUALIEN,TW,HUN,Ocean
KAOHSIUNG,TW,KAO,Ocean
KAOHSIUNG,TW,KHH,Ocean
KAOHSIUNG,TW,KHG,Ocean
KAOHSIUNG(OOCL),TW,KHS,Ocean
KAOHSIUNG1,TW,KH1,Ocean
KAOHSIUNG1,TW,KA1,Ocean
KEELUNG,TW,KEL,Ocean
KEELUNG1,TW,KEG,Ocean
KHH NO.2,TW,KA2,Ocean
OTHER-PORT,TW,ZZZ,Ocean
SUAO,TW,SUO,Ocean
TACHUNG,TW,TCG,Ocean
TAICHUNG,TW,TXJ,Ocean
TAICHUNG,TW,TAI,Ocean
TAIPAI,TW,TPE,Ocean
TAITUNG,TW,TTT,Ocean
DAR ES SALAAM,TZ,DAR,Ocean
TANGA,TZ,TGT,Ocean
